Title,Joy,Love,Anger,Surprise,Sadness,Fear,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Authors Anonymous,0.5008620223933308,0.9709494946652232,0.3539131763874107,0.3397167667878825,0.1705110739259236,0.1521443702977496,Spouse/Lover/Ex,Past,Daytime,['Comedy']
Autumn in New York,0.8637481817089881,0.5509478192486075,0.225533170733752,0.3064564984643709,0.2482940811553831,0.4277781116901461,Fighter,Past,Daytime,"['Drama', 'Romance']"
Avatar,0.8558571632130192,0.848704852404264,0.1596515395595851,0.2565463742052082,0.2552433249542358,0.314374590064459,Realist,Present,Daytime,"['Action', 'Sci-Fi', 'Adventure']"
Avengers The 2012,0.2629138510819502,0.4904919637669631,0.0249622857800447,0.1563990617489997,0.843778692371032,0.8129680473273339,Monster/Killer/Victim,Present,Daytime,"['Action', 'Sci-Fi', 'Adventure']"
Avventura L The Adventure,0.8843434432283925,0.6220623409515785,0.1175131982297053,0.1083794134061005,0.0019825706780382,0.4713633131487164,Realist,Present,Daytime,"['Drama', 'Thriller']"
Awakenings,0.9533036370059306,0.9991590872469552,0.4636867648821087,0.0313064679345639,0.0127215862765752,0.1562008303118535,Realist,Past,Daytime,['Drama']
Babel,0.3790597244378431,0.1007158544354873,0.4966411461591101,0.0821794976393119,0.6194571710175022,0.7120784952149091,Monster/Killer/Victim,Future,Daytime,"['Drama', 'Thriller']"
Bachelor Party,0.6170138786468498,0.9287402371332354,0.4472523127562068,0.4063573745645504,0.3144085622354418,0.1927803824337394,Spouse/Lover/Ex,Past,Daytime,['Comedy']
Backdraft,0.6981706863014705,0.7179001867626169,0.4041953863456238,0.3019966676626637,0.3401155456209518,0.4719550873853963,Comedian,Past,Daytime,"['Drama', 'Action', 'Thriller']"
Bad Boys,0.0532380193885555,0.1083188878406629,0.3724260673277648,0.1158245590489902,0.6382983726923612,0.6677834917085816,Detective/Spy,Present,Nighttime,"['Comedy', 'Action']"
Bad Country,0.2998702189969799,0.4114230412421883,0.2495256548375973,0.0487410505465418,0.948135411465165,0.6326968009295415,Law Person/Outlaw,Past,Daytime,"['Crime', 'Drama', 'Action']"
Bad Day at Black Rock,0.4248863338106453,0.4106324692350857,0.4743557980834529,0.243596847215516,0.5158504188141382,0.728873142878905,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Drama', 'Thriller']"
Bad Dreams,0.6636357925389333,0.8189412358570771,0.3203396816815848,0.1362452753872384,0.4330757093592892,0.1694450115992513,Fighter,Past,Daytime,"['Horror', 'Thriller']"
Bad Lieutenant,0.5788279015243375,0.9748531682235848,0.3944304961949877,0.2191549243702049,0.3168960081878419,0.3522414221927594,Realist,Past,Daytime,"['Crime', 'Drama']"
Bad Santa,0.4031661655463016,0.0564878505883834,0.1867331264677261,0.2097068960419846,0.7194096102813257,0.7186087922144704,Law Person/Outlaw,Future,Daytime,"['Crime', 'Comedy']"
Bad Teacher,0.64455075263085,0.8956879413740875,0.1566811374588444,0.0968898587286923,0.1402930845101927,0.3432337669599917,Soldier,Present,Daytime,['Comedy']
Badlands,0.629741066261446,0.923503570886949,0.155206832697518,0.0268873741319,0.181771252692125,0.3544217090450993,Realist,Past,Daytime,"['Crime', 'Drama', 'Thriller']"
Bamboozled,0.8703992869028048,0.8874876791057913,0.3600686443970864,0.0242429990056615,0.2431249559701402,0.3825099225932781,Child,Present,Daytime,"['Comedy', 'Drama']"
Barry Lyndon,0.8410669690562078,0.8130733110264834,0.1857509232292055,0.4702678111357247,0.0319906795796245,0.1827346211092341,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Drama', 'War', 'Romance']"
Barton Fink,0.7832369912793828,0.6600936081261675,0.1962226263490418,0.0584532900425868,0.4197960715835979,0.2998909262930366,Comedian,Past,Daytime,"['Comedy', 'Drama', 'Thriller']"
Basic Instinct,0.5015725327408517,0.5841703861289835,0.2640167855668466,0.0360981037855001,0.4266542638208731,0.3814025219621668,Traveller/Explorer,Past,Nighttime,"['Crime', 'Thriller']"
Basic,0.2058810199953192,0.0300003324062884,0.3623217741313873,0.245793983458389,0.8486973985171262,0.5155288361966249,Soldier,Past,Daytime,"['Drama', 'Thriller']"
Basquiat,0.5125128959429208,0.6382768564421817,0.0006035814636514,0.3121677858380578,0.1227131914214318,0.1685926437962074,Law Person/Outlaw,Past,Daytime,['Drama']
Batman 2,0.5254155320256911,0.5755343484623607,0.47531522344428,0.4310775689449659,0.0879987865022945,0.3427870562744576,Traveller/Explorer,Past,Daytime,"['Crime', 'Fantasy', 'Action', 'Thriller']"
Batman,0.9671999459941636,0.680622881086717,0.0170966046369835,0.3356204833172614,0.1828912795667379,0.3995689088141061,Fighter,Past,Nighttime,"['Crime', 'Fantasy', 'Action', 'Thriller']"
Battle Los Angeles,0.2860111217913612,0.2533607841050501,0.135381149208616,0.3974750561466554,0.8618316326595,0.6728967006397764,Spouse/Lover/Ex,Past,Daytime,"['Action', 'Sci-Fi']"
Bean,0.7791430653309479,0.8841171610266946,0.1024946908638901,0.3923799879060076,0.3299928014678167,0.242150853919898,Fighter,Past,Daytime,['Comedy']
Beasts of No Nation,0.7221346134836854,0.7965690263854099,0.1002469146192074,0.2785783458053413,0.1813598481130651,0.238620875441442,Fighter,Present,Daytime,"['Drama', 'War']"
Beasts of the Southern Wild,0.9280296013897752,0.8826549110888695,0.2272711131381034,0.0090713408452547,0.1792090496658909,0.1782333664934856,Detective/Spy,Present,Daytime,"['Fantasy', 'Drama']"
Beauty and the Beast,0.9757736592977097,0.5627237992345111,0.4064526119295695,0.3760275922479849,0.3514756991646156,0.0545386843234091,Soldier,Past,Daytime,"['Fantasy', 'Family']"
Beavis and Butt-head Do America,0.6838197528309906,0.9543828859002754,0.2274422859278041,0.0251261627900056,0.0672632319543531,0.0455303716211803,Child,Past,Daytime,['Comedy']
Beginners,0.8755673911210555,0.6641756886441771,0.4739507174475212,0.4437779974820589,0.4593703840520085,0.3517305020826712,Spouse/Lover/Ex,Past,Daytime,"['Comedy', 'Drama', 'Romance']"
Being Human,0.6781491803211164,0.992277514674449,0.4314613690589627,0.4504954061728876,0.0680096055542006,0.3300781613655439,Creature/Royalty/Knight/Sorcerer,Present,Daytime,"['Comedy', 'Fantasy', 'Drama']"
